date,title,source,evidence_type,topic,key_message,details,url,peer_review_status,relevance,screening_query,journal_scope,r_and_d_stage,candidate_or_product,platform_or_modality,developer_or_sponsor
2026-07-01,CEPI source updated: News,CEPI,institutional R&D update,vaccine development,Monitored R&D/access source changed during the 6-hourly dashboard update.,Keep up-to-date on the latest announcements and updates from CEPI and our global partners.,https://cepi.net/news,not peer-reviewed; source-monitor generated,"Review the source page for changes relevant to Bundibugyo therapeutics, vaccines, diagnostics, manufacturing, access, or clinical trial readiness.",source monitor,institutional source,vaccine R&D,,,CEPI
2026-06-02,"Automated R&D screening: vaccines, therapeutics, diagnostics and clinical trial readiness for Bundibugyo ebolavirus",Europe PMC / PubMed / WHO / CEPI screening plan,Automated literature and institutional surveillance,R&D surveillance,The dashboard is configured to separately track product-development evidence rather than mixing it with epidemiological research.,"Screening covers vaccine platforms, monoclonal antibodies, antivirals, diagnostics, assays, animal models, trial readiness, compassionate use, and regulatory guidance.",https://europepmc.org/search?query=Bundibugyo%20vaccine%20therapeutic%20diagnostic,"Screening rule, not a paper",Separates translational R&D from epidemiological analysis.,(Bundibugyo OR ebolavirus) AND (vaccine OR therapeutic OR monoclonal antibody OR antiviral OR diagnostic OR trial OR animal model),"npj Vaccines, Vaccine, Lancet Infectious Diseases, NEJM, Nature Medicine, Science Translational Medicine, JID, EBioMedicine",Screening configuration,Multiple,Vaccine / therapeutic / diagnostic,WHO/CEPI/PubMed/Europe PMC screening
2026-06-01,Oxford Bundibugyo ebolavirus vaccine candidate receives CEPI backing,University of Oxford,Institutional R&D update,Vaccine R&D,Oxford/SII ChAdOx1 Bundibugyo candidate receives CEPI support and aims to move toward trials rapidly.,"Track as a distinct ChAdOx1 platform candidate; relevant for manufacturing scale-up, dose availability and animal-data gap.",https://www.ox.ac.uk/news/2026-06-01-oxford-bundibugyo-ebolavirus-vaccine-candidate-receives-cepi-backing,Not applicable,Candidate-specific development update.,,,Preclinical/clinical trial preparation,ChAdOx1 Bundibugyo candidate,Viral vector vaccine,University of Oxford / Serum Institute of India / CEPI
2026-06-01,Moderna and other groups get funding to develop Bundibugyo Ebola vaccine,Reuters,Science news,Vaccine R&D,"CEPI funding package includes Moderna mRNA vaccine development, Oxford/SII and IAVI candidates.","Useful as a rapidly updated secondary source that consolidates funder, developer and amount details; verify against CEPI/Oxford/IAVI primary pages.",https://www.reuters.com/business/healthcare-pharmaceuticals/moderna-partners-with-global-health-coalition-develop-bundibugyo-ebola-vaccine-2026-06-01/,Not peer-reviewed,R&D financing and candidate portfolio.,,,Preclinical to early clinical,Moderna Bundibugyo mRNA candidate,mRNA vaccine,Moderna / CEPI
2026-06-01,Merck discusses molnupiravir use in Ebola Bundibugyo response,Reuters,Science news,Therapeutics R&D,Merck reported discussions with global health authorities about possible use of molnupiravir in the Bundibugyo outbreak response.,"Track as a hypothesis-generating therapeutic item only; use would require expert guidance, safety review, pregnancy contraindication considerations, and trial or protocol context.",https://www.reuters.com/legal/litigation/merck-exec-says-company-is-discussing-use-covid-antiviral-drug-ebola-response-2026-06-01/,Not peer-reviewed,Potential antiviral candidate discussion for current outbreak.,Bundibugyo Ebola molnupiravir 2026,science news / therapeutic development,Exploratory discussion,Molnupiravir,Oral antiviral,Merck / Ridgeback
2026-06-01,CEPI fast-tracks three Bundibugyo ebolavirus vaccine candidates,CEPI,Institutional R&D update,Vaccine R&D,"CEPI is backing IAVI, Moderna and Oxford/SII vaccine candidates as a portfolio approach for Bundibugyo ebolavirus.","High-priority R&D item: track platform, dose availability, animal data, clinical trial timing, manufacturing and access commitments.",https://cepi.net/cepi-fast-tracks-three-bundibugyo-ebolavirus-vaccine-candidates,Not applicable,Directly relevant to vaccine development and trial readiness.,,,Preclinical to trial-readiness acceleration,,,
2026-05-28,WHO emergency guidance on use of licensed Ebola virus vaccine during Bundibugyo outbreaks,WHO,Guidance,Vaccine policy,WHO published emergency guidance on whether/how licensed Zaire ebolavirus vaccine should be considered during BVD outbreaks.,"Critical policy item because Ervebo is licensed for Zaire ebolavirus disease, not Bundibugyo. The dashboard should track whether use is recommended only in research settings or not recommended for outbreak control.",https://www.who.int/emergencies/situations/ebola-outbreak---drc-2026,Guidance,Policy relevance for cross-protection assumptions.,,,Policy/guidance,,,
2026-05-28,WHO Technical Advisory Group on therapeutics prioritization for Bundibugyo virus disease,WHO R&D Blueprint,Expert advisory report,Therapeutics R&D,WHO TAG report prioritizes candidate therapeutics and trial considerations for BVD.,"Extract products such as monoclonal antibodies and antivirals, endpoints, ethical criteria and operational feasibility. This is a core source for a therapeutics matrix.",https://www.who.int/teams/blueprint/ebolavirus,Expert report,Directly informs treatment trial prioritization.,,,Candidate prioritization,,,
2026-05-28,"WHO Technical Advisory Group on candidate vaccine prioritization: meeting report, 19 and 25 May 2026",WHO R&D Blueprint,Expert advisory report,Vaccine R&D,WHO TAG-CVP assessed candidate vaccines for Bundibugyo virus disease.,"Use to update candidate ranking, evidence gaps, expected timelines and conditions for field efficacy assessment.",https://www.who.int/teams/blueprint/ebolavirus,Expert report,Directly informs vaccine trial prioritization.,,,Candidate prioritization,,,
2026-05-28,Experts convened by WHO advise on candidate treatments and vaccines for BVD,WHO,Expert advisory summary,R&D strategy,WHO convened expert groups to assess potential vaccines and therapeutics for BVD prevention and treatment.,This is the highest-level public summary of R&D recommendations and should be presented prominently in the dashboard.,https://www.who.int/news/item/28-05-2026-experts-convened-by-who-advise-on-candidate-treatments-and-vaccines-for-ebola-disease-caused-by-bundibugyo-virus,Not applicable,R&D strategy and governance.,,,R&D coordination,,,
2026-05-27,Cross-reactive Bundibugyo antibody responses after licensed Ebola vaccines,medRxiv,Preprint,Vaccine immunology,Preprint addresses cross-reactive antibody responses to Bundibugyo after licensed Ebola vaccines.,Important for the cross-protection question; interpret cautiously because it is a preprint and immunogenicity may not equal clinical protection.,https://www.medrxiv.org/content/10.64898/2026.05.27.26354223v1,Preprint,Directly relevant to Ervebo/cross-protection debate.,,,Immunogenicity evidence,,,
2026-05-26,CDC COCA call: Ebola Bundibugyo virus,CDC,Clinical guidance/training,Clinical and diagnostics,"CDC slides summarize clinical recognition, infection control, testing and lack of FDA-licensed Bundibugyo vaccine.","Useful for importation preparedness, differential diagnosis, laboratory biosafety and clinical consultation pathways.",https://www.cdc.gov/coca/media/pdfs/2026/COCA-Call-Slides_05.28.2026.pdf,Not applicable,Clinical public health readiness.,,,Implementation guidance,,,
2026-05-22,Statement on vaccine efforts relating to the Bundibugyo Ebolavirus outbreak in the DRC,University of Oxford,Institutional R&D update,Vaccine R&D,Oxford Vaccine Group is working with Oxford CBF and Serum Institute to produce and scale ChAdOx1 BDBV candidate doses.,Candidate-specific source for dashboard; later superseded by CEPI backing but remains useful for historical tracking.,https://www.ox.ac.uk/news/2026-05-22-statement-on-vaccine-efforts-relating-to-the-bundibugyo-ebolavirus-outbreak-in-the,Not applicable,Candidate manufacturing and scale-up.,,,Preclinical/manufacturing,,,
